Id,Source,Target
0,415055902,3373146857
1,1219511055048638471,174091851
2,1219511055048638471,1052877677605134336
3,1219511055048638471,1494357413159489539
4,1002634999378731008,2338169095
5,1511541306501308423,2365378849
6,432566115,1085912953466048512
7,432566115,56575418
8,432566115,326316197
9,432566115,1519171920859742208
10,432566115,1249848746
11,432566115,766601799155449857
12,1052877677605134336,730378350645149696
13,1052877677605134336,852213846496464897
14,1052877677605134336,1488533324947763200
15,1052877677605134336,1271923249446780928
16,1052877677605134336,251542906
17,1052877677605134336,1448586375373148162
18,1052877677605134336,1203887463074344960
19,1052877677605134336,1507060363891773441
20,1052877677605134336,523425606
21,1052877677605134336,1498327504733540355
22,1052877677605134336,995365138436972544
23,1052877677605134336,1453699745541763074
24,1052877677605134336,1512203147527217154
25,1052877677605134336,1219511055048638471
26,1052877677605134336,25033013
27,1052877677605134336,97880092
28,1052877677605134336,923947808
29,1052877677605134336,1483180539150536705
30,1052877677605134336,1213934633584185344
31,1052877677605134336,295101931
32,2958529045,1517696955329228800
33,2958529045,3979810455
34,4747949368,326150500
35,4747949368,726721856749842436
36,1524605449047322625,1527017452575522818
37,1203887463074344960,1085912953466048512
38,1203887463074344960,56575418
39,1203887463074344960,1324385804475617281
40,1203887463074344960,1052877677605134336
41,1203887463074344960,1454165058540408844
42,1203887463074344960,3373146857
43,1203887463074344960,3434577971
44,1203887463074344960,1347020986898591747
45,1203887463074344960,326316197
46,1015278164803837952,56575418
47,1015278164803837952,848884243
48,899192571314016258,1499039297072156684
49,1501473990535225350,848884243
50,3133622513,2365378849
51,37204163,3373146857
52,37204163,56575418
53,768742419693273088,326316197
54,768742419693273088,3021946031
55,768742419693273088,1519171920859742208
56,768742419693273088,24261700
57,768742419693273088,2338169095
58,1296751962147389442,1332347438
59,1296751962147389442,3373146857
60,1296751962147389442,56575418
61,1394277882,1002634999378731008
62,1394277882,428262812
63,1394277882,1130420497
64,1394277882,766601799155449857
65,1605694716,56575418
66,2437565401,3373146857
67,2437565401,1517696955329228800
68,1115832862530523136,966347094
69,1115832862530523136,3373146857
70,1115832862530523136,1079110657105166336
71,1115832862530523136,56575418
72,1278461621850038277,1498714565806366725
73,1278461621850038277,1517696955329228800
74,5993722,3373146857
75,5993722,56575418
76,1325490444659286018,174091851
77,1325490444659286018,910437895
78,1325490444659286018,1494357413159489539
79,358412550,56575418
80,1460642828766302211,1322393514
81,995365138436972544,1052877677605134336
82,995365138436972544,3373146857
83,995365138436972544,56575418
84,995365138436972544,1512203147527217154
85,2516580190,2338169095
86,1524010451494920192,326316197
87,1524010451494920192,3373146857
88,1524010451494920192,1331150114086412291
89,1524010451494920192,1371468588796805120
90,1016300620410744837,2338169095
91,1016300620410744837,1431899781668999171
92,1514212350051684358,56575418
93,509184015,913822308606803970
94,509184015,1517696955329228800
95,1360162956294684672,1282895309723578369
96,1360162956294684672,1494357413159489539
97,829671426,474228650
98,829671426,345108194
99,1219850648,2338169095
100,25033013,1052877677605134336
101,25033013,913822308606803970
102,25033013,56575418
103,1373361783235284993,3373146857
104,1373361783235284993,56575418
105,1484898188725297152,766601799155449857
106,1484898188725297152,326150500
107,1484898188725297152,1331150114086412291
108,295101931,1052877677605134336
109,295101931,1512203147527217154
110,295101931,154143068
111,295101931,1488533324947763200
112,295101931,56575418
113,1448586375373148162,1052877677605134336
114,1238735064315428864,2365378849
115,22909616,875973804
116,777420335553576960,1162008385539203074
117,777420335553576960,829671426
118,769464197763600384,3373146857
119,1130420497,766601799155449857
120,1206955898150752256,1494357413159489539
121,1403243170264199168,1372309379085701120
122,1080738845686001664,1494357413159489539
123,1095076850,326316197
124,1079110657105166336,966347094
125,1079110657105166336,1115832862530523136
126,345108194,1519380400749035520
127,1124882462,2338169095
128,2591647988,56575418
129,25987846,1517696955329228800
130,25987846,56575418
131,1511448514617913350,56575418
132,1232312190960455681,1519171920859742208
133,1055128248588427265,1517696955329228800
134,1055128248588427265,56575418
135,1499370086972465168,2365378849
136,1499370086972465168,1517696955329228800
137,1499370086972465168,56575418
138,834107231113211904,2365378849
139,1448264081039937536,848884243
140,1638615144,1494357413159489539
141,3434577971,1203887463074344960
142,3434577971,326316197
143,3434577971,1085912953466048512
144,3434577971,1002634999378731008
145,1172530405,1455843673795698689
146,1172530405,3977951957
147,703344788,56575418
148,1507895623751991298,913822308606803970
149,1507895623751991298,1494357413159489539
150,1430794202,2365378849
151,730378350645149696,1052877677605134336
152,216686073,310348902
153,216686073,1499039297072156684
154,623802763,3373146857
155,623802763,56575418
156,290483042,913822308606803970
157,290483042,3373146857
158,290483042,1517696955329228800
159,290483042,56575418
160,1475991277137281025,2365378849
161,89002274,2365378849
162,244002939,3052500837
163,244002939,1476466310582317060
164,244002939,1122614814398918657
165,381383063,1494357413159489539
